SeqId	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism	Units
2834-54_1	SL003915	Kallikrein-8	kallikrein 8	O60259	11202	KLK8	Human	RFU
2835-1_4	SL004301	X-ray repair cross-complementing protein 6	Ku70	P12956	2547	XRCC6	Human	RFU
2836-68_2	SL000695	Neutrophil gelatinase-associated lipocalin	Lipocalin 2	P80188	3934	LCN2	Human	RFU
2837-3_2	SL000134	Hepatocyte growth factor receptor	Met	P08581	4233	MET	Human	RFU
2838-53_1	SL003332	Matrix metalloproteinase-17	MMP-17	Q9ULZ9	4326	MMP17	Human	RFU
2839-2_1	SL004649	Tumor necrosis factor ligand superfamily member 4	OX40 Ligand	P23510	7292	TNFSF4	Human	RFU
2841-13_2	SL004650	Secreted frizzled-related protein 3	sFRP-3	Q92765	2487	FRZB	Human	RFU
2843-13_2	SL001897	Kunitz-type protease inhibitor 2	SPINT2	O43291	10653	SPINT2	Human	RFU
2844-53_2	SL003199	Tyrosine-protein kinase receptor Tie-1, soluble	sTie-1	P35590	7075	TIE1	Human	RFU
2846-24_2	SL000605	Ubiquitin+1, truncated mutation for UbB	Ubiquitin+1	P62979	6233	RPS27A	Human	RFU
2848-2_2	SL004652	Wnt inhibitory factor 1	WIF-1	Q9Y5W5	11197	WIF1	Human	RFU
2849-49_1	SL004768	Allograft inflammatory factor 1	AIF1	P55008	199	AIF1	Human	RFU
2851-63_3	SL000320	C5a anaphylatoxin	C5a	P01031	727	C5	Human	RFU
2853-68_2	SL006911	Serine/threonine-protein kinase Chk1	CHK1	O14757	1111	CHEK1	Human	RFU
2855-49_2	SL000409	Mitogen-activated protein kinase 3	ERK-1	P27361	5595	MAPK3	Human	RFU
2857-70_2	SL006914	Glucocorticoid receptor	Glucocorticoid receptor	P04150	2908	NR3C1	Human	RFU
2858-29_2	SL004725	Histone acetyltransferase type B catalytic subunit	Hat1	O14929	8520	HAT1	Human	RFU
2859-69_2	SL004723	Histone deacetylase 8	HDAC8	Q9BY41	55869	HDAC8	Human	RFU
2860-19_2	SL004718	Importin subunit alpha-1	Karyopherin-a2	P52292	3838	KPNA2	Human	RFU
2864-2_3	SL003793	Dual specificity mitogen-activated protein kinase kinase 1	MEK1	Q02750	5604	MAP2K1	Human	RFU
2865-77_2	SL004724	Histone acetyltransferase KAT6A	MOZ	Q92794	7994	KAT6A	Human	RFU
2869-68_3	SL000554	Protein kinase C delta type	PKC-D	Q05655	5580	PRKCD	Human	RFU
2870-29_2	SL004009	Ras-related C3 botulinum toxin substrate 1	RAC1	P63000	5879	RAC1	Human	RFU
2871-73_2	SL006922	DNA repair protein RAD51 homolog 1	RAD51	Q06609	5888	RAD51	Human	RFU
2875-15_2	SL006923	TATA-box-binding protein	TBP	P20226	6908	TBP	Human	RFU
2876-74_2	SL004305	DNA topoisomerase 1	Topoisomerase I	P11387	7150	TOP1	Human	RFU
2877-3_1	SL004306	SUMO-conjugating enzyme UBC9	UBC9	P63279	7329	UBE2I	Human	RFU
2878-66_2	SL006372	Tyrosine-protein kinase Yes	YES	P07947	7525	YES1	Human	RFU
2879-9_2	SL000248	Alpha-1-antichymotrypsin	a1-Antichymotrypsin	P01011	12	SERPINA3	Human	RFU
2888-49_2	SL000323	Complement component C7	C7	P10643	730	C7	Human	RFU
2889-37_2	SL002783	Cardiotrophin-1	Cardiotrophin-1	Q16619	1489	CTF1	Human	RFU
2890-59_2	SL003303	C-C motif chemokine 28	CCL28	Q9NRJ3	56477	CCL28	Human	RFU
2891-1_3	SL004330	B-cell receptor CD22	CD22	P20273	933	CD22	Human	RFU
2900-53_3	SL003329	C-C motif chemokine 14	HCC-1	Q16627	6358	CCL14	Human	RFU
2906-55_3	SL000480	Interleukin-4	IL-4	P05112	3565	IL4	Human	RFU
2911-27_2	SL002621	Midkine	Midkine	P21741	4192	MDK	Human	RFU
2913-1_2	SL003302	C-C motif chemokine 23	MPIF-1	P55773	6368	CCL23	Human	RFU
2915-6_2	SL000131	Proliferating cell nuclear antigen	PCNA	P12004	5111	PCNA	Human	RFU
2917-3_2	SL002541	Tumor necrosis factor ligand superfamily member 11	sRANKL	O14788	8600	TNFSF11	Human	RFU
2925-9_1	SL000006	Plasminogen activator inhibitor 1	PAI-1	P05121	5054	SERPINE1	Human	RFU
2937-10_2	SL004668	Apolipoprotein E (isoform E3)	Apo E3	P02649	348	APOE	Human	RFU
2938-55_2	SL004669	Apolipoprotein E (isoform E4)	Apo E4	P02649	348	APOE	Human	RFU
2939-10_2	SL004670	Artemin	Artemin	Q5T4W7	9048	ARTN	Human	RFU
2942-50_2	SL000396	Cytochrome c	Cytochrome c	P99999	54205	CYCS	Human	RFU
2943-5_2	SL000398	Cytochrome P450 3A4	Cytochrome P450 3A4	P08684	1576	CYP3A4	Human	RFU
2944-66_2	SL005156	Neuroblastoma suppressor of tumorigenicity 1	DAN	P41271	4681	NBL1	Human	RFU
2945-25_1	SL000007	Estrogen receptor	ER	P03372	2099	ESR1	Human	RFU
2946-52_2	SL003327	Complement factor D	Factor D	P00746	1675	CFD	Human	RFU
2948-58_2	SL005168	Growth hormone receptor	Growth hormone receptor	P10912	2690	GHR	Human	RFU
2949-6_2	SL004067	Group 10 secretory phospholipase A2	GX	O15496	8399	PLA2G10	Human	RFU
2950-57_2	SL005171	Insulin-like growth factor-binding protein 4	IGFBP-4	P22692	3487	IGFBP4	Human	RFU
2952-75_2	SL000047	Insulin-like growth factor I	IGF-I	P05019	3479	IGF1	Human	RFU
2953-31_2	SL000506	Luteinizing hormone	Luteinizing hormone	P01215, P01229	1081 3972	CGA LHB	Human	RFU
2960-66_2	SL003192	Properdin	Properdin	P27918	5199	CFP	Human	RFU
2961-1_2	SL000048	Vitamin K-dependent protein C	Protein C	P04070	5624	PROC	Human	RFU
2962-50_2	SL002561	Parathyroid hormone-related protein	PTHrP	P12272	5744	PTHLH	Human	RFU
2966-65_2	SL004362	Stem Cell Growth Factor-beta	SCGF-beta	Q9Y240	6320	CLEC11A	Human	RFU
2967-8_1	SL001720	Vascular cell adhesion protein 1	VCAM-1	P19320	7412	VCAM1	Human	RFU
2968-61_1	SL004686	Tumor necrosis factor ligand superfamily member 15	TNFSF15	O95150	9966	TNFSF15	Human	RFU
2969-11_1	SL004851	Serine/threonine-protein kinase receptor R3	ALK-1	P37023	94	ACVRL1	Human	RFU
2970-60_2	SL000136	Amphiregulin	AREG	P15514	374	AREG	Human	RFU
2972-57_2	SL004078	Bone morphogenetic protein 7	BMP-7	P18075	655	BMP7	Human	RFU
2973-15_2	SL000668	Platelet glycoprotein 4	CD36 ANTIGEN	P16671	948	CD36	Human	RFU
2974-61_2	SL004855	Contactin-1	contactin-1	Q12860	1272	CNTN1	Human	RFU
2975-19_2	SL002655	Connective tissue growth factor	CTGF	P29279	1490	CTGF	Human	RFU
2976-58_2	SL004856	Desmoglein-1	Desmoglein-1	Q02413	1828	DSG1	Human	RFU
2977-7_2	SL004872	Tumor necrosis factor receptor superfamily member EDAR	EDAR	Q9UNE0	10913	EDAR	Human	RFU
2979-8_2	SL003169	C-X-C motif chemokine 5	ENA-78	P42830	6374	CXCL5	Human	RFU
2981-9_3	SL005160	Endothelial cell-selective adhesion molecule	ESAM	Q96AP7	90952	ESAM	Human	RFU
2982-82_2	SL005165	Galectin-4	Galectin-4	P56470	3960	LGALS4	Human	RFU
2985-35_1	SL003173	Growth-regulated alpha protein	Gro-a	P09341	2919	CXCL1	Human	RFU
2986-49_2	SL017610	Gro-beta/gamma	Gro-b/g	P19876 P19875		CXCL3 CXCL2	Human	RFU
2987-37_3	SL005256	Histone H1.2	Histone H1.2	P16403	3006	HIST1H1C	Human	RFU
2988-57_2	SL005170	Inducible T-cell costimulator	ICOS	Q9Y6W8	29851	ICOS	Human	RFU
2991-9_2	SL001997	Interleukin-1 receptor type 1	IL-1 sRI	P14778	3554	IL1R1	Human	RFU
2992-59_2	SL004850	Interleukin-17 receptor A	IL-17 sR	Q96F46	23765	IL17RA	Human	RFU
2993-1_2	SL004861	Interleukin-18 receptor accessory protein	IL-18 Rb	O95256	8807	IL18RAP	Human	RFU
2994-71_2	SL004875	Interleukin-1 receptor-like 2	IL-1Rrp2	Q9HB29	8808	IL1RL2	Human	RFU
2997-8_1	SL005193	Junctional adhesion molecule B	JAM-B	P57087	58494	JAM2	Human	RFU
2998-53_2	SL005194	Junctional adhesion molecule C	JAM-C	Q9BX67	83700	JAM3	Human	RFU
2999-6_2	SL005196	Limbic system-associated membrane protein	LSAMP	Q13449	4045	LSAMP	Human	RFU
3000-66_1	SL004516	Mannose-binding protein C	MBL	P11226	4153	MBL2	Human	RFU
3003-29_2	SL005205	Natural cytotoxicity triggering receptor 3	NKp30	O14931	259197	NCR3	Human	RFU
3004-67_2	SL004862	Programmed cell death 1 ligand 2	PD-L2	Q9BQ51	80380	PDCD1LG2	Human	RFU
3005-5_2	SL004939	Tyrosine-protein phosphatase non-receptor type 1	PTP-1B	P18031	5770	PTPN1	Human	RFU
3007-7_2	SL005219	Sialic acid-binding Ig-like lectin 9	Siglec-9	Q9Y336	27180	SIGLEC9	Human	RFU
3009-3_2	SL005059	Transforming growth factor beta receptor type 3	TGF-b R III	Q03167	7049	TGFBR3	Human	RFU
3010-53_2	SL004687	Thymic stromal lymphopoietin	TSLP	Q969D9	85480	TSLP	Human	RFU
3022-4_2	SL000384	Cytotoxic T-lymphocyte protein 4	CTLA-4	P16410	1493	CTLA4	Human	RFU
3024-18_2	SL000250	Alpha-2-antiplasmin	a2-Antiplasmin	P08697	5345	SERPINF2	Human	RFU
3025-50_1	SL000004	Fibroblast growth factor 2	bFGF	P09038	2247	FGF2	Human	RFU
3026-5_2	SL000338	Calpastatin	Calpastatin	P20810	831	CAST	Human	RFU
3028-36_2	SL003301	Ck-beta-8-1	Ck-b-8-1	P55773	6368	CCL23	Human	RFU
3029-52_2	SL005157	CD209 antigen	DC-SIGN	Q9NNX6	30835	CD209	Human	RFU
3030-3_2	SL005158	C-type lectin domain family 4 member M	DC-SIGNR	Q9H2X3	10332	CLEC4M	Human	RFU
3032-11_2	SL000428	Follicle stimulating hormone	FSH	P01215,  P01225	1081 2488	CGA FSHB	Human	RFU
3033-57_1	SL005164	Galectin-2	Galectin-2	P05162	3957	LGALS2	Human	RFU
3034-1_2	SL004271	Glial fibrillary acidic protein	GFAP	P14136	2670	GFAP	Human	RFU
3035-80_2	SL004354	Interleukin-19	IL-19	Q9UHD0	29949	IL19	Human	RFU
3037-62_1	SL001795	Interleukin-1 beta	IL-1b	P01584	3553	IL1B	Human	RFU
3038-9_2	SL003326	C-X-C motif chemokine 11	I-TAC	O14625	6373	CXCL11	Human	RFU
3040-59_1	SL000519	C-C motif chemokine 3	MIP-1a	P10147	6348	CCL3	Human	RFU
3041-55_2	SL008416	C-type mannose receptor 2	MRC2	Q9UBG0	9902	MRC2	Human	RFU
3042-7_2	SL000164	Myoglobin	Myoglobin	P02144	4151	MB	Human	RFU
3043-49_2	SL000532	SPARC	ON	P09486	6678	SPARC	Human	RFU
3044-3_2	SL003323	C-C motif chemokine 18	PARC	P55774	6362	CCL18	Human	RFU
3045-72_2	SL002704	Pleiotrophin	PTN	P21246	5764	PTN	Human	RFU
3046-31_1	SL004260	Resistin	resistin	Q9HD89	56729	RETN	Human	RFU
3049-61_2	SL000603	Trypsin-1	Trypsin	P07477	5644	PRSS1	Human	RFU
3050-7_2	SL000017	von Willebrand factor	vWF	P04275	7450	VWF	Human	RFU
3052-8_2	SL000633	Tumor necrosis factor ligand superfamily member 6, soluble form	Fas ligand, soluble	P48023	356	FASLG	Human	RFU
3053-49_2	SL004343	Fms-related tyrosine kinase 3 ligand	Flt3 ligand	P49771	2323	FLT3LG	Human	RFU
3054-3_2	SL000437	Haptoglobin	Haptoglobin, Mixed Type	P00738	3240	HP	Human	RFU
3055-54_2	SL003308	Interleukin-4 receptor subunit alpha	IL-4 sR	P24394	3566	IL4R	Human	RFU
3056-11_1	SL005204	NKG2-D type II integral membrane protein	NKG2D	P26718	22914	KLRK1	Human	RFU
3057-55_1	SL004689	WNT1-inducible-signaling pathway protein 1	WISP-1	O95388	8840	WISP1	Human	RFU
3059-50_2	SL004327	Tumor necrosis factor ligand superfamily member 13B	BAFF	Q9Y275	10673	TNFSF13B	Human	RFU
3060-43_2	SL000325	Complement component C9	C9	P02748	735	C9	Human	RFU
3061-61_2	SL000343	Cathepsin B	Cathepsin B	P07858	1508	CTSB	Human	RFU
3065-65_1	SL004339	Fibroblast growth factor 5	FGF-5	P12034	2250	FGF5	Human	RFU
3066-12_1	SL003744	Galectin-3	Galectin-3	P17931	3958	LGALS3	Human	RFU
3067-67_1	SL005234	Growth/differentiation factor 9	GDF-9	O60383	2661	GDF9	Human	RFU
3069-52_3	SL000468	Immunoglobulin M	IgM	P01871	3507 3512 50802 3535	IGHM IGJ IGK@ IGL@	Human	RFU
3070-1_2	SL000478	Interleukin-2	IL-2	P60568	3558	IL2	Human	RFU
3072-4_2	SL001718	Interleukin-13	IL-13	P35225	3596	IL13	Human	RFU
3073-51_2	SL002508	Interleukin-18-binding protein	IL-18 BPa	O95998	10068	IL18BP	Human	RFU
3074-6_2	SL003309	Lipopolysaccharide-binding protein	LBP	P18428	3929	LBP	Human	RFU
3077-66_2	SL003324	Coagulation factor Xa	Coagulation Factor Xa	P00742	2159	F10	Human	RFU
3078-1_2	SL002640	Placenta growth factor	PlGF	P49763	5228	PGF	Human	RFU
3079-62_2	SL005152	Retinoic acid receptor responder protein 2	TIG2	Q99969	5919	RARRES2	Human	RFU
3081-70_2	SL005227	NKG2D ligand 1	ULBP-1	Q9BZM6	80329	ULBP1	Human	RFU
3082-9_2	SL005228	NKG2D ligand 2	ULBP-2	Q9BZM5	80328	ULBP2	Human	RFU
3083-71_1	SL005233	Tumor necrosis factor receptor superfamily member 27	XEDAR	Q9HAV5	60401	EDA2R	Human	RFU
3091-70_2	SL004771	Aurora kinase A	Aurora kinase A	O14965	6790	AURKA	Human	RFU
3115-64_2	SL006918	Mitogen-activated protein kinase 1	MK01	P28482	5594	MAPK1	Human	RFU
3122-6_2	SL003733	Diablo homolog, mitochondrial	SMAC	Q9NR28	56616	DIABLO	Human	RFU
3132-1_1	SL004486	Vascular endothelial growth factor C	VEGF-C	P49767	7424	VEGFC	Human	RFU
3143-3_1	SL002524	T-cell surface glycoprotein CD4	sCD4	P01730	920	CD4	Human	RFU
3151-6_1	SL003305	Interleukin-2 receptor subunit alpha	IL-2 sRa	P01589	3559	IL2RA	Human	RFU
3152-57_1	SL001800	Tumor necrosis factor receptor superfamily member 1B	TNF sR-II	P20333	7133	TNFRSF1B	Human	RFU
3166-92_1	SL005215	Myeloid cell surface antigen CD33	Siglec-3	P20138	945	CD33	Human	RFU
3168-8_2	SL004626	A disintegrin and metalloproteinase with thrombospondin motifs 5	ADAMTS-5	Q9UNA0	11096	ADAMTS5	Human	RFU
3169-70_2	SL010368	Alpha-L-iduronidase	IDUA	P35475	3425	IDUA	Human	RFU
3170-6_1	SL007261	Methionine aminopeptidase 2	AMPM2	P50579	10988	METAP2	Human	RFU
3171-57_2	SL004469	Amyloid beta A4 protein	amyloid precursor protein	P05067	351	APP	Human	RFU
3172-28_2	SL008956	Arylsulfatase B	ARSB	P15848	411	ARSB	Human	RFU
3173-49_2	SL008611	N-acylethanolamine-hydrolyzing acid amidase	ASAHL	Q02083	27163	NAAA	Human	RFU
3174-2_1	SL008421	A disintegrin and metalloproteinase with thrombospondin motifs 1	ATS1	Q9UHI8	9510	ADAMTS1	Human	RFU
3175-51_5	SL006610	A disintegrin and metalloproteinase with thrombospondin motifs 13	ATS13	Q76LX8	11093	ADAMTS13	Human	RFU
3177-49_2	SL010369	Carbonic anhydrase 4	Carbonic Anhydrase IV	P22748	762	CA4	Human	RFU
3178-5_2	SL007280	Dipeptidyl peptidase 1	CATC	P53634	1075	CTSC	Human	RFU
3179-51_2	SL009213	Lysosomal protective protein	Cathepsin A	P10619	5476	CTSA	Human	RFU
3181-50_2	SL004673	Cathepsin S	Cathepsin S	P25774	1520	CTSS	Human	RFU
3182-38_2	SL010371	Ectonucleoside triphosphate diphosphohydrolase 1	CD39	P49961	953	ENTPD1	Human	RFU
3184-25_2	SL000358	Coagulation factor VII	Coagulation Factor VII	P08709	2155	F7	Human	RFU
3186-2_2	SL002525	Complement C2	C2	P06681	717	C2	Human	RFU
3187-52_2	SL007284	Cysteine-rich secretory protein 3	CRIS3	P54108	10321	CRISP3	Human	RFU
3189-61_2	SL010372	Enteropeptidase	Enterokinase	P98073	5651	TMPRSS15	Human	RFU
3191-50_2	SL012783	WAP, kazal, immunoglobulin, kunitz and NTR domain-containing protein 1	WFKN1	Q96NZ8	117166	WFIKKN1	Human	RFU
3192-3_2	SL002695	Cytosolic non-specific dipeptidase	Glutamate carboxypeptidase	Q96KP4	55748	CNDP2	Human	RFU
3194-36_2	SL008759	Platelet glycoprotein VI	GPVI	Q9HCN6	51206	GP6	Human	RFU
3195-50_2	SL000678	Granulysin	Granulysin	P22749	10578	GNLY	Human	RFU
3196-6_2	SL008023	Hyaluronan and proteoglycan link protein 1	HPLN1	P10915	1404	HAPLN1	Human	RFU
3197-70_2	SL007122	Insulin-degrading enzyme	IDE	P14735	3416	IDE	Human	RFU
3198-4_1	SL008639	Iduronate 2-sulfatase	IDS	P22304	3423	IDS	Human	RFU
3199-54_2	SL003916	Kallikrein-12	kallikrein 12	Q9UKR0	43849	KLK12	Human	RFU
3200-49_2	SL003918	Kallikrein-13	kallikrein 13	Q9UKR3	26085	KLK13	Human	RFU
3201-49_2	SL003863	Kallikrein-5	kallikrein 5	Q9Y337	25818	KLK5	Human	RFU
3202-28_2	SL010393	Kremen protein 2	KREM2	Q8NCW0	79412	KREMEN2	Human	RFU
3204-2_2	SL007100	Leukotriene A-4 hydrolase	LKHA4	P09960	4048	LTA4H	Human	RFU
3206-4_2	SL008904	Lymphatic vessel endothelial hyaluronic acid receptor 1	LYVE1	Q9Y5Y7	10894	LYVE1	Human	RFU
3208-2_4	SL006992	Matrilin-3	MATN3	O15232	4148	MATN3	Human	RFU
3209-69_1	SL005437	Matrix extracellular phosphoglycoprotein	MEPE	Q9NQ76	56955	MEPE	Human	RFU
3210-1_2	SL010374	Methionine aminopeptidase 1	METAP1	P53582	23173	METAP1	Human	RFU
3212-30_3	SL010375	Neutral ceramidase	ASAH2	Q9NR71	56624	ASAH2	Human	RFU
3213-65_2	SL000640	Nidogen-1	Nidogen	P14543	4811	NID1	Human	RFU
3216-2_2	SL005797	Polymeric immunoglobulin receptor	PIGR	P01833	5284	PIGR	Human	RFU
3217-74_2	SL004457	Glia-derived nexin	Protease nexin I	P07093	5270	SERPINE2	Human	RFU
3220-40_2	SL010378	Proto-oncogene tyrosine-protein kinase receptor Ret	RET	P07949	5979	RET	Human	RFU
3221-54_1	SL003770	Secreted frizzled-related protein 1	SARP-2	Q8N474	6422	SFRP1	Human	RFU
3222-11_2	SL010379	Semaphorin-3A	Semaphorin 3A	Q14563	10371	SEMA3A	Human	RFU
3232-28_2	SL004118	Tartrate-resistant acid phosphatase type 5	TrATPase	P13686	54	ACP5	Human	RFU
3234-23_2	SL010390	Coiled-coil domain-containing protein 80	URB	Q76M96	151887	CCDC80	Human	RFU
3235-50_2	SL010391	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2	WFKN2	Q8TEU8	124857	WFIKKN2	Human	RFU
3280-49_2	SL004661	Aggrecan core protein	Aggrecan	P16112	176	ACAN	Human	RFU
3281-19_1	SL006803	Angiopoietin-related protein 3	ANGL3	Q9Y5C1	27329	ANGPTL3	Human	RFU
3283-21_1	SL006544	Transforming growth factor-beta-induced protein ig-h3	BGH3	Q15582	7045	TGFBI	Human	RFU
3284-75_1	SL007804	Biglycan	BGN	P21810	633	BGN	Human	RFU
3285-23_2	SL000310	Complement C1r subcomponent	C1r	P00736	715	C1R	Human	RFU
3289-19_2	SL010449	Carbonic anhydrase-related protein 10	Carbonic Anhydrase X	Q9NS85	56934	CA10	Human	RFU
3290-50_2	SL008773	CD109 antigen	CD109	Q6YHK3	135228	CD109	Human	RFU
3291-30_2	SL002706	Low affinity immunoglobulin epsilon Fc receptor	CD23	P06734	2208	FCER2	Human	RFU
3292-75_1	SL010450	CD48 antigen	CD48	P09326	962	CD48	Human	RFU
3293-2_4	SL006108	CD5 antigen-like	CD5L	O43866	922	CD5L	Human	RFU
3294-55_2	SL010451	Cryptic protein	CFC1	P0CG37	55997	CFC1	Human	RFU
3296-92_2	SL008623	Contactin-2	CNTN2	Q02246	6900	CNTN2	Human	RFU
3298-52_2	SL010454	Contactin-4	Contactin-4	Q8IWV2	152330	CNTN4	Human	RFU
3299-29_2	SL010455	Contactin-5	Contactin-5	O94779	53942	CNTN5	Human	RFU
3302-58_1	SL007049	Cystatin-F	CYTF	O76096	8530	CST7	Human	RFU
3303-23_2	SL004438	Cystatin-M	Cystatin M	Q15828	1474	CST6	Human	RFU
3305-6_1	SL010457	Delta-like protein 4	DLL4	Q9NR61	54567	DLL4	Human	RFU
3309-2_2	SL010459	Low affinity immunoglobulin gamma Fc region receptor II-a	FCG2A	P12318	2212	FCGR2A	Human	RFU
3310-62_1	SL010460	Low affinity immunoglobulin gamma Fc region receptor II-b	FCG2B	P31994	2213	FCGR2B	Human	RFU
3311-27_1	SL008609	Low affinity immunoglobulin gamma Fc region receptor III-B	FCG3B	O75015	2215	FCGR3B	Human	RFU
3312-64_1	SL010461	High affinity immunoglobulin gamma Fc receptor I	FCGR1	P12314	2209	FCGR1A	Human	RFU
3313-21_2	SL006542	Ficolin-2	FCN2	Q15485	2220	FCN2	Human	RFU
3314-74_2	SL004858	GDNF family receptor alpha-1	GFRa-1	P56159	2674	GFRA1	Human	RFU
3315-15_1	SL010463	Glypican-2	GPC2	Q8N158	221914	GPC2	Human	RFU
3316-58_1	SL004466	Heparin cofactor 2	Heparin cofactor II	P05546	3053	SERPIND1	Human	RFU
3317-33_1	SL004860	Serine protease HTRA2, mitochondrial	HTRA2	O43464	27429	HTRA2	Human	RFU
3320-49_2	SL005087	Insulin-like growth factor-binding protein 7	IGFBP-7	Q16270	3490	IGFBP7	Human	RFU
3321-2_2	SL007385	Interleukin-24	IL24	Q13007	11009	IL24	Human	RFU
3322-52_2	SL010464	Leucine-rich repeats and immunoglobulin-like domains protein 3	LRIG3	Q6UXM1	121227	LRIG3	Human	RFU
3323-37_1	SL004610	Low-density lipoprotein receptor-related protein 8	LRP8	Q14114	7804	LRP8	Human	RFU
3324-51_1	SL007674	T-lymphocyte surface antigen Ly-9	LY9	Q9HBG7	4063	LY9	Human	RFU
3325-2_2	SL010465	Matrilin-2	MATN2	O00339	4147	MATN2	Human	RFU
3326-58_2	SL004805	Cell adhesion molecule 1	Nectin-like protein 2	Q9BY67	23705	CADM1	Human	RFU
3327-27_1	SL007673	Netrin-4	NET4	Q9HB63	59277	NTN4	Human	RFU
3329-14_2	SL004515	Peptidoglycan recognition protein 1	PGRP-S	O75594	8993	PGLYRP1	Human	RFU
3331-8_1	SL010468	RGM domain family member B	RGMB	Q6NW40	285704	RGMB	Human	RFU
3332-57_1	SL010469	Hemojuvelin	RGM-C	Q6ZVN8	148738	HFE2	Human	RFU
3336-50_1	SL001998	Tissue factor pathway inhibitor	TFPI	P10646	7035	TFPI	Human	RFU
3339-33_1	SL007206	Thrombospondin-2	TSP2	P35442	7058	THBS2	Human	RFU
3340-53_1	SL007207	Thrombospondin-4	TSP4	P35443	7060	THBS4	Human	RFU
3341-33_4	SL006892	Tyrosine-protein kinase ABL1	ABL1	P00519	25	ABL1	Human	RFU
3343-1_4	SL005574	Aminoacylase-1	Aminoacylase-1	Q03154	95	ACY1	Human	RFU
3344-60_4	SL000272	Antithrombin-III	Antithrombin III	P01008	462	SERPINC1	Human	RFU
3346-72_2	SL010520	Aurora kinase B	AURKB	Q96GD4	9212	AURKB	Human	RFU
3347-9_2	SL002792	beta-adrenergic receptor kinase 1	BARK1	P25098	156	ADRBK1	Human	RFU
3348-49_2	SL003994	Bone morphogenetic protein 1	BMP-1	P13497	649	BMP1	Human	RFU
3350-53_2	SL010491	Calcium/calmodulin-dependent protein kinase type II subunit alpha	CAMK2A	Q9UQM7	815	CAMK2A	Human	RFU
3351-1_1	SL010492	Calcium/calmodulin-dependent protein kinase type II subunit beta	CAMK2B	Q13554	816	CAMK2B	Human	RFU
3352-80_3	SL010288	Carbonic anhydrase 6	Carbonic anhydrase 6	P23280	765	CA6	Human	RFU
3356-50_1	SL004868	Carbonic anhydrase 7	Carbonic anhydrase VII	P43166	766	CA7	Human	RFU
3357-67_2	SL010495	Cyclin-dependent kinase 2:Cyclin-A2 complex	CDK2/cyclin A	P24941 P20248	1017 890	CDK2 CCNA2	Human	RFU
3358-51_2	SL010496	Cyclin-dependent kinase 5:Cyclin-dependent kinase 5 activator 1 complex	CDK5/p35	Q00535 Q15078	1020 8851	CDK5 CDK5R1	Human	RFU
3359-11_2	SL010522	Cyclin-dependent kinase 8:Cyclin-C complex	CDK8/cyclin C	P49336 P24863	1024 892	CDK8 CCNC	Human	RFU
3360-50_4	SL003726	Serine/threonine-protein kinase Chk2	Chk2	O96017	11200	CHEK2	Human	RFU
3361-26_2	SL010610	C-type lectin domain family 4 member K	CLC4K	Q9UJ71	50489	CD207	Human	RFU
3362-61_2	SL009400	Chordin-like protein 1	CRDL1	Q9BU40	91851	CHRDL1	Human	RFU
3363-31_4	SL004781	Tyrosine-protein kinase CSK	CSK	P41240	1445	CSK	Human	RFU
3364-76_2	SL006910	Cathepsin L2	Cathepsin V	O60911	1515	CTSV	Human	RFU
3365-7_2	SL010612	Dickkopf-related protein 4	Dkk-4	Q9UBT3	27121	DKK4	Human	RFU
3366-51_2	SL006550	Extracellular matrix protein 1	ECM1	Q16610	1893	ECM1	Human	RFU
3367-8_3	SL006777	Fetuin-B	FETUB	Q9UGM5	26998	FETUB	Human	RFU
3373-5_2	SL004654	Granzyme H	Granzyme H	P20718	2999	GZMH	Human	RFU
3374-49_2	SL010499	Tyrosine-protein kinase HCK	HCK	P08631	3055	HCK	Human	RFU
3376-49_2	SL010613	Interleukin-17 receptor D	IL-17 RD	Q8NFM7	54756	IL17RD	Human	RFU
3378-49_2	SL000064	Kallikrein-7	Kallikrein 7	P49862	5650	KLK7	Human	RFU
3379-29_1	SL007228	Protein kinase C iota type	KPCI	P41743	5584	PRKCI	Human	RFU
3381-24_2	SL010500	Tyrosine-protein kinase Lyn, isoform B	LYNB	P07948	4067	LYN	Human	RFU
3387-1_2	SL010508	Serine/threonine-protein kinase PAK 3	PAK3	O75914	5063	PAK3	Human	RFU
3388-58_2	SL010510	Serine/threonine-protein kinase PAK 7	PAK7	Q9P286	57144	PAK7	Human	RFU
3389-7_2	SL000550	Plasma serine protease inhibitor	PCI	P05154	5104	SERPINA5	Human	RFU
3390-72_2	SL010512	PIK3CA/PIK3R1	PIK3CA/PIK3R1	P42336 P27986	5290 5295	PIK3CA PIK3R1	Human	RFU
3391-10_2	SL007250	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	PK3CG	P48736	5294	PIK3CG	Human	RFU
3392-68_2	SL017614	RAC-alpha/beta/gamma serine/threonine-protein kinase	PKB a/b/g	P31749 P31751 Q9Y243	207 208 10000	AKT1 AKT2 AKT3	Human	RFU
3394-81_2	SL005258	Serine/threonine-protein kinase PLK1	PLK-1	P53350	5347	PLK1	Human	RFU
3396-54_2	SL000565	Renin	Renin	P00797	5972	REN	Human	RFU
3397-7_4	SL010616	Tyrosine-protein phosphatase non-receptor type 11	SHP-2	Q06124	5781	PTPN11	Human	RFU
